Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m04
8213.194670133247	4	4	4	4
8227.234319142022	1	1	1	1
8241.273968150796	1	1	1	1
8255.31361715957	1	1	1	1
8269.353266168346	1	1	1	1
8283.39291517712	1	1	1	1
8297.432564185896	4	4	4	4
8311.472213194671	1	1	1	1
8325.511862203444	1	1	1	1
8339.55151121222	1	1	1	1
8353.591160220994	1	1	1	1
8367.63080922977	1	1	1	1
8381.670458238545	4	4	4	4
8395.71010724732	1	1	1	1
8409.749756256093	1	1	1	1
8423.789405264868	1	1	1	1
8437.829054273643	1	1	1	1
8451.868703282418	1	1	1	1
8465.908352291193	4	4	4	4
8479.948001299968	1	1	1	1
8493.987650308743	1	1	1	1
8508.027299317517	1	1	1	1
8522.066948326292	1	1	1	1
8536.106597335067	1	1	1	1
8550.14624634384	4	4	4	4
8564.185895352617	1	1	1	1
8578.225544361392	1	1	1	1
8592.265193370165	1	1	1	1
8606.30484237894	1	1	1	1
8620.344491387716	1	1	1	1
8634.384140396489	4	4	4	4
8648.423789405264	1	1	1	1
8662.46343841404	1	1	1	1
8676.503087422814	1	1	1	1
8690.54273643159	1	1	1	1
8704.582385440364	1	1	1	1
8718.622034449138	4	4	4	4
8732.661683457913	1	1	1	1
8746.701332466688	1	1	1	1
8760.740981475463	1	1	1	1
8774.780630484238	1	1	1	1
8788.820279493013	1	1	1	1
8802.859928501786	4	4	4	4
8816.899577510561	1	1	1	1
8830.939226519336	1	1	1	1
8844.978875528112	1	1	1	1
8859.018524536887	1	1	1	1
8873.058173545662	1	1	1	1
8887.097822554437	4	4	4	4
8901.13747156321	1	1	1	1
8915.177120571985	1	1	1	1
8929.21676958076	1	1	1	1
8943.256418589535	1	1	1	1
8957.29606759831	1	1	1	1
8971.335716607085	4	4	4	4
8985.375365615859	1	1	1	1
8999.415014624634	1	1	1	1
9013.454663633409	1	1	1	1
9027.494312642184	1	1	1	1
9041.53396165096	1	1	1	1
9055.573610659734	4	4	4	4
9069.613259668507	1	1	1	1
9083.652908677283	1	1	1	1
9097.692557686058	1	1	1	1
9111.732206694833	1	1	1	1
9125.771855703608	1	1	1	1
9139.811504712383	4	4	4	4
9153.851153721156	1	1	1	1
9167.890802729931	1	1	1	1
9181.930451738706	1	1	1	1
9195.970100747481	1	1	1	1
9210.009749756256	1	1	1	1
9224.049398765032	4	4	4	4
9238.089047773805	1	1	1	1
9252.12869678258	1	1	1	1
9266.168345791355	1	1	1	1
9280.20799480013	1	1	1	1
9294.247643808905	1	1	1	1
9308.28729281768	4	4	4	4
9322.326941826455	1	1	1	1
9336.366590835229	1	1	1	1
9350.406239844004	1	1	1	1
9364.445888852779	1	1	1	1
9378.485537861554	1	1	1	1
9392.525186870329	4	4	4	4
9406.564835879104	1	1	1	1
9420.604484887877	1	1	1	1
9434.644133896652	1	1	1	1
9448.683782905428	1	1	1	1
9462.723431914203	1	1	1	1
9476.763080922978	4	4	4	4
9490.802729931753	1	1	1	1
9504.842378940526	1	1	1	1
9518.882027949301	1	1	1	1
9532.921676958076	1	1	1	1
9546.961325966851	1	1	1	1
9561.000974975626	4	4	4	4
9575.040623984401	1	1	1	1
9589.080272993175	1	1	1	1
9603.11992200195	1	1	1	1
9617.159571010725	1	1	1	1
9631.199220019498	1	1	1	1
9645.238869028275	4	4	4	4
9659.27851803705	1	1	1	1
9673.318167045823	1	1	1	1
9687.357816054599	1	1	1	1
9701.397465063374	1	1	1	1
9715.437114072147	1	1	1	1
9729.476763080922	4	4	4	4
9743.516412089699	1	1	1	1
9757.556061098472	1	1	1	1
9771.595710107247	1	1	1	1
9785.635359116022	1	1	1	1
9799.675008124797	1	1	1	1
9813.71465713357	4	4	4	4
9827.754306142346	1	1	1	1
9841.793955151123	1	1	1	1
9855.833604159896	1	1	1	1
9869.873253168671	1	1	1	1
9883.912902177446	1	1	1	1
9897.95255118622	4	4	4	4
9911.992200194994	1	1	1	1
9926.03184920377	1	1	1	1
9940.071498212545	1	1	1	1
9954.11114722132	1	1	1	1
9968.150796230095	1	1	1	1
9982.190445238868	4	4	4	4
9996.230094247643	1	1	1	1
10010.269743256418	1	1	1	1
10024.309392265193	1	1	1	1
10038.349041273968	1	1	1	1
10052.388690282743	1	1	1	1
10066.428339291517	4	4	4	4
10080.467988300292	1	1	1	1
10094.507637309067	1	1	1	1
10108.547286317842	1	1	1	1
10122.586935326617	1	1	1	1
10136.626584335392	1	1	1	1
10150.666233344165	4	4	4	4
10164.70588235294	1	1	1	1
10178.745531361716	1	1	1	1
10192.78518037049	1	1	1	1
10206.824829379266	1	1	1	1
10220.86447838804	1	1	1	1
10234.904127396816	4	4	4	4
10248.94377640559	1	1	1	1
10262.983425414364	1	1	1	1
10277.02307442314	1	1	1	1
10291.062723431914	1	1	1	1
10305.10237244069	1	1	1	1
10319.142021449465	4	4	4	4
10333.181670458238	1	1	1	1
10347.221319467013	1	1	1	1
10361.260968475788	1	1	1	1
10375.300617484563	1	1	1	1
10389.340266493338	1	1	1	1
10403.379915502113	4	4	4	4
10417.419564510887	1	1	1	1
10431.459213519662	1	1	1	1
10445.498862528437	1	1	1	1
10459.538511537212	1	1	1	1
10473.578160545987	1	1	1	1
10487.617809554762	4	4	4	4
10501.657458563535	1	1	1	1
10515.69710757231	1	1	1	1
10529.736756581086	1	1	1	1
10543.77640558986	1	1	1	1
10557.816054598636	1	1	1	1
10571.85570360741	4	4	4	4
10585.895352616184	1	1	1	1
10599.93500162496	1	1	1	1
10613.974650633734	1	1	1	1
10628.01429964251	1	1	1	1
10642.053948651284	1	1	1	1
10656.09359766006	4	4	4	4
10670.133246668833	1	1	1	1
10684.172895677608	1	1	1	1
10698.212544686383	1	1	1	1
10712.252193695158	1	1	1	1
10726.291842703933	1	1	1	1
10740.331491712708	4	4	4	4
10754.371140721483	1	1	1	1
10768.410789730257	1	1	1	1
10782.450438739032	1	1	1	1
10796.490087747807	1	1	1	1
10810.529736756582	1	1	1	1
10824.569385765355	4	4	4	4
10838.60903477413	1	1	1	1
10852.648683782905	1	1	1	1
10866.68833279168	1	1	1	1
